               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.039631,            0.016885,                   0,             0.79333,             0.68421,             0.71571,             0.22023,            0.030316,            0.007037,                   0,            0.006337,            0.006337,            0.006337
                  39,             0.04121,             0.01519,                   0,             0.84662,             0.68421,             0.74822,             0.26937,             0.03101,           0.0068631,                   0,            0.006238,            0.006238,            0.006238
                  40,              0.0275,            0.016696,                   0,             0.84662,             0.68421,             0.74822,             0.26937,             0.03101,           0.0068631,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.028404,            0.016829,                   0,             0.91388,             0.73684,             0.87835,             0.40938,            0.028771,           0.0067091,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.029517,            0.015825,                   0,             0.89511,             0.73684,             0.88163,             0.42847,            0.025529,           0.0069187,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.028174,            0.018064,                   0,             0.91531,             0.94737,             0.96452,             0.48204,             0.02531,           0.0065295,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.030604,            0.015717,                   0,             0.91531,             0.94737,             0.96452,             0.48204,             0.02531,           0.0065295,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.030014,            0.015124,                   0,             0.79529,             0.94737,             0.92653,             0.49398,            0.031448,           0.0064895,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.028351,            0.015039,                   0,             0.91089,             0.89474,             0.94556,             0.39354,            0.033377,           0.0063667,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.028376,            0.015138,                   0,             0.94598,             0.92241,             0.95583,             0.50533,            0.022176,           0.0061248,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.024733,            0.013589,                   0,             0.94598,             0.92241,             0.95583,             0.50533,            0.022176,           0.0061248,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.042498,            0.017848,                   0,             0.89896,             0.93699,              0.9527,             0.49882,             0.02228,           0.0058943,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.04874,            0.015585,                   0,             0.97864,             0.94737,             0.97893,             0.43249,            0.021671,           0.0057653,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.040957,            0.015542,                   0,             0.82366,             0.78947,             0.84422,             0.40776,            0.027422,           0.0052567,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.032967,            0.014017,                   0,             0.82366,             0.78947,             0.84422,             0.40776,            0.027422,           0.0052567,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.034324,            0.014784,                   0,             0.80704,             0.78947,             0.82785,              0.3872,            0.025345,           0.0050229,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.031566,            0.016607,                   0,             0.97705,             0.94737,             0.97294,             0.48225,            0.020605,           0.0049311,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.026986,            0.015981,                   0,             0.86836,             0.89474,             0.95267,             0.44724,            0.025502,           0.0045865,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.028729,            0.014356,                   0,             0.86836,             0.89474,             0.95267,             0.44724,            0.025502,           0.0045865,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.024502,            0.014073,                   0,             0.99742,             0.94737,             0.98154,             0.43357,            0.023428,            0.004535,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.047663,            0.014341,                   0,                   1,             0.99598,               0.995,             0.55609,            0.018081,           0.0045741,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.029815,            0.015028,                   0,             0.98602,                   1,               0.995,              0.5118,            0.021612,           0.0043555,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.047384,             0.01428,                   0,             0.98602,                   1,               0.995,              0.5118,            0.021612,           0.0043555,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.023303,            0.012904,                   0,              0.9925,                   1,               0.995,             0.56754,            0.017625,           0.0042981,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.02959,            0.014573,                   0,             0.99178,             0.94737,              0.9925,             0.57893,            0.022264,           0.0041651,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.04589,            0.014438,                   0,             0.99284,             0.94737,              0.9925,             0.59919,            0.022135,           0.0041593,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022811,            0.014532,                   0,             0.99284,             0.94737,              0.9925,             0.59919,            0.022135,           0.0041593,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.052462,            0.013588,                   0,                   1,             0.99451,               0.995,              0.5616,            0.021685,           0.0041554,                   0,            0.003664,            0.003664,            0.003664
                  66,              0.0219,            0.015675,                   0,                   1,             0.99581,               0.995,             0.66729,            0.016973,           0.0042244,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.032243,            0.016069,                   0,             0.99196,             0.94737,              0.9925,             0.54275,            0.022418,            0.004212,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.024104,            0.015794,                   0,             0.99196,             0.94737,              0.9925,             0.54275,            0.022418,            0.004212,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.02872,            0.014618,                   0,                   1,             0.99972,               0.995,              0.5117,             0.02223,           0.0041295,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.044995,            0.014303,                   0,                   1,             0.99897,               0.995,             0.63829,            0.024045,           0.0040529,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.022741,             0.01239,                   0,                   1,             0.99513,               0.995,             0.54031,             0.02415,           0.0039445,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.035269,            0.013892,                   0,                   1,             0.99513,               0.995,             0.54031,             0.02415,           0.0039445,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.021814,            0.013775,                   0,             0.99734,                   1,               0.995,             0.50555,            0.024179,            0.003936,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.024134,            0.014409,                   0,             0.99517,                   1,               0.995,             0.61904,            0.017118,           0.0039289,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.040178,            0.012642,                   0,             0.99399,                   1,               0.995,             0.61867,            0.017067,           0.0038445,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.034334,            0.013408,                   0,             0.99399,                   1,               0.995,             0.61867,            0.017067,           0.0038445,                   0,            0.002575,            0.002575,            0.002575
